/* DATA DESCRIPTION:
Citation:	Hodell, David A; Charles, Christopher D; Curtis, Jason H; Mortyn, P Graham; Ninnemann, Ulysses S; Venz, Kathryn A (2003): (Table T2) Stable oxygen and carbon isotope ratios of the benthic and planktonic foraminifera, carbonate content, and percent fragmentation of planktonic foraminifers for ODP Site 177-1089 in the Southern Ocean [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.218128, 
	In supplement to: Hodell, DA et al. (2003): Data Report: Oxygen isotope stratigraphy of ODP Leg 117 sites 1088, 1089, 1090, 1093, and 1094. In: Gersonde, R; Hodell, DA; Blum, P (eds.) Proceedings of the Ocean Drilling Program, Scientific Results, College Station, TX (Ocean Drilling Program), 177, 1-26, https://doi.org/10.2973/odp.proc.sr.177.120.2003
Project(s):	Ocean Drilling Program (ODP) (URI: https://www-odp.tamu.edu:443/)
Coverage:	LATITUDE: -40.936333 * LONGITUDE: 9.893983
	DATE/TIME START: 1997-12-19T00:00:00 * DATE/TIME END: 1997-12-19T00:00:00
	MINIMUM DEPTH, sediment/rock: -0.19 m * MAXIMUM DEPTH, sediment/rock: 94.94 m
Event(s):	177-1089 * LATITUDE: -40.936333 * LONGITUDE: 9.893983 * DATE/TIME: 1997-12-19T00:00:00 * ELEVATION: -4620.5 m * PENETRATION: 793.6 m * RECOVERY: 675.9 m * LOCATION: South Atlantic Ocean * CAMPAIGN: Leg177 * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 86 cores; 791.6 m cored; 2 m drilled; 85.4% recovery
Comment:	Depth is modified composite depth (mcd). Stable isotope analyses were conducted at the University of Florida (UF) Hole C, and Scripps Institution of Oceanography (SIO) Hole A and B. Carbonate contenet and fragmentation determined at the Unifersity of Florida (UF).
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Sample code/label (Sample label) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: DSDP/ODP/IODP sample designation (URI: hdl:10013/epic.27914.d001)
	Globigerina bulloides, δ18O [‰ PDB] (G. bulloides δ18O) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, Finnigan, MAT 252
	Globigerina bulloides, δ13C [‰ PDB] (G. bulloides δ13C) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, Finnigan, MAT 252
	Cibicidoides spp., δ18O [‰ PDB] (Cibicidoides spp. δ18O) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, Finnigan, MAT 252
	Cibicidoides spp., δ13C [‰ PDB] (Cibicidoides spp. δ13C) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, Finnigan, MAT 252
	Calcium carbonate [%] (CaCO3) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Coulometric titration (Knap et al., 1996, IOC Manuals and Guides 29, UNESCO) (URI: hdl:10013/epic.27912.d001)
	Foraminifera, planktic, fragments [%] (Foram plankt fragm) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	9893 data points
*/
Depth sed [m]	Age [ka BP]	Sample label	G. bulloides δ18O [‰ PDB]	G. bulloides δ13C [‰ PDB]	Cibicidoides spp. δ18O [‰ PDB]	Cibicidoides spp. δ13C [‰ PDB]	CaCO3 [%]	Foram plankt fragm [%]
67.27	437.61	177-1089C-8-1,131-133	3.29	-0.52	4.30	-1.03	25.8	
67.32	437.79	177-1089C-8-1,135-137	3.06	-0.54	4.26	-1.22	28.7	
67.37	437.96	177-1089C-8-1,140-142	3.23	-0.40	4.33	-1.36	28.3	25.0
67.42	438.14	177-1089C-8-1,145-147	3.20	-0.47			28.8	
67.47	438.32	177-1089C-8-2,0-1.5	3.27	-0.46	4.26	-1.31	29.3	
67.52	438.50	177-1089C-8-2,5-6.5	3.10	-0.30	4.26	-1.38	32.2	
67.57	438.68	177-1089C-8-2,10-11.5	3.16	-0.28	4.27	-1.08	34.8	32.7
67.62	438.86	177-1089C-8-2,15-16.5	3.33	-0.60	4.36	-0.92	32.5	
67.67	439.04	177-1089C-8-2,20-21.5	3.39	-0.18	4.26	-0.98	35.8	25.0
67.72	439.21	177-1089C-8-2,25-26.5	3.33	-0.40	4.36	-1.15	38.7	15.9
67.77	439.39	177-1089C-8-2,30-31.5			4.28	-1.35	37.0	4.9
67.82	439.57	177-1089C-8-2,35-36.5	3.23	0.01	4.16	-1.20	37.8	
67.87	439.75	177-1089C-8-2,40-41.5	3.27	-0.33	4.13	-1.39	37.4	3.0
67.92	439.93	177-1089C-8-2,45-46.5	3.64	0.04	4.12	-1.33	38.0	
67.97	440.11	177-1089C-8-2,50-51.5	3.48	0.03	4.20	-1.36	32.8	7.5
68.02	440.29	177-1089C-8-2,55-56.5	3.49	-0.19	4.19	-0.97	30.1	
68.07	440.46	177-1089C-8-2,60-61.5	3.39	-0.13	4.22	-1.10	33.3	
68.12	440.64	177-1089C-8-2,65-66.5	3.17	-0.31	4.25	-1.39	34.0	
68.17	440.82	177-1089C-8-2,70-71.5	3.35	-0.07	4.25	-1.06	34.7	16.7
68.22	441.00	177-1089C-8-2,75-76.5	3.22	-0.23	4.29	-0.90	35.5	
68.27	441.18	177-1089C-8-2,80-81.5	3.22	-0.12	4.28	-1.07	41.5	
68.32	441.36	177-1089C-8-2,85-86.5	3.33	-0.40	4.19	-1.49	36.0	
68.37	441.54	177-1089C-8-2,90-91.5	3.44	-0.16	4.32	-1.30	33.3	17.2
68.42	441.71	177-1089C-8-2,95-96.5	3.16	-0.43	4.25	-1.18	33.9	
68.47	441.89	177-1089C-8-2,100-102	3.43	0.03	4.24	-1.14	30.4	
68.52	442.07	177-1089C-8-2,105-107	3.48	-0.23	4.27	-1.37	32.9	
68.57	442.25	177-1089C-8-2,110-112	3.30	0.17	4.23	-1.25	32.3	5.7
68.62	442.43	177-1089C-8-2,115-117	3.52	-0.11	4.19	-1.38	32.7	
68.67	442.61	177-1089C-8-2,120-122	3.46	0.02	4.24	-1.17	36.0	
68.72	442.79	177-1089C-8-2,125-127	3.41	0.04	4.21	-1.29	36.0	
68.77	442.96	177-1089C-8-2,130-132	3.34	0.03	4.12	-1.18	38.1	24.0
68.82	443.14	177-1089C-8-2,135-137	3.55	-0.03	4.19	-1.22	38.5	
68.87	443.32	177-1089C-8-2,140-142	3.33	-0.02	4.13	-1.04	40.6	
68.92	443.50	177-1089C-8-2,145-147	3.29	-0.43	4.07	-1.07	43.3	
69.02	443.86	177-1089C-8-3,5-6.5			4.14	-1.23	38.3	15.0
69.07	444.04	177-1089C-8-3,10-11.5	3.39	-0.14	4.09	-0.83	39.3	
69.12	444.21	177-1089C-8-3,15-16.5	3.33	-0.11	4.10	-1.30	40.0	
69.17	444.39	177-1089C-8-3,20-21.5	3.30	-0.01	4.15	-1.20	41.3	
69.22	444.57	177-1089C-8-3,25-26.5	3.06	-0.19	4.16	-0.91	41.7	6.9
69.27	444.75	177-1089C-8-3,30-31.5	3.22	0.01	4.09	-1.05	40.8	
69.32	444.93	177-1089C-8-3,35-36.5	3.28	-0.06	4.15	-1.11	40.2	
69.37	445.11	177-1089C-8-3,40-41.5	2.83	-0.02	4.16	-1.49	41.4	
69.42	445.29	177-1089C-8-3,45-46.5	3.06	-0.42	4.16	-1.13	42.2	8.9
69.47	445.46	177-1089C-8-3,50-51.5	2.83	-0.39	4.16	-1.47	40.8	
69.52	445.64	177-1089C-8-3,55-56.5			4.16	-1.35	40.9	
69.57	445.82	177-1089C-8-3,60-61.5	3.08	-0.23	4.07	-1.26	42.7	
69.62	446.00	177-1089C-8-3,65-66.5	2.94	-0.24	4.14	-1.32	41.7	17.5
69.67	446.18	177-1089C-8-3,70-71.5	3.10	0.07	4.13	-1.06	42.4	
69.72	446.36	177-1089C-8-3,75-76.5	3.18	-0.12	4.02	-1.34	43.6	
69.77	446.54	177-1089C-8-3,80-81.5	2.84	-0.44	4.09	-1.16	43.9	
69.82	446.71	177-1089C-8-3,85-86.5	2.92	-0.18	4.03	-1.15	45.5	15.7
69.87	446.89	177-1089C-8-3,90-91.5	3.16	-0.12	4.07	-1.01	46.5	
69.92	447.07	177-1089C-8-3,95-96.5	3.04	-0.49	4.06	-1.10	46.3	
69.97	447.25	177-1089C-8-3,100-102			3.96	-1.17	47.4	
70.02	447.43	177-1089C-8-3,105-107	2.84	-0.50	4.03	-1.03	48.0	9.8
70.07	447.61	177-1089C-8-3,110-112	2.78	-0.28	4.10	-1.18	47.0	
70.12	447.79	177-1089C-8-3,115-117	2.66	-0.37	4.09	-0.96	46.9	
70.17	447.96	177-1089C-8-3,120-122			4.09	-0.92	50.2	
70.22	448.14	177-1089C-8-3,125-127	2.98	-0.11	4.01	-1.20	49.6	6.9
70.27	448.32	177-1089C-8-3,130-132	2.87	-0.21	4.00	-1.36	48.8	
70.32	448.50	177-1089C-8-3,135-137	2.84	-0.31	3.92	-1.16	48.8	
70.37	448.68	177-1089C-8-3,140-142	2.91	-0.22	4.10	-1.18	50.7	
70.42	448.86	177-1089C-8-3,145-147	2.95	-0.27	4.03	-1.07	55.2	25.5
70.47	449.04	177-1089C-8-4,0-1.5			4.01	-0.92	57.2	
70.52	449.21	177-1089C-8-4,5-6.5	3.10	-0.04	3.97	-1.03	59.2	
70.57	449.39	177-1089C-8-4,10-11.5	3.03	-0.10	3.87	-0.66	60.4	
70.62	449.57	177-1089C-8-4,15-16.5	3.07	0.05	3.87	-0.90	61.0	33.2
70.67	449.75	177-1089C-8-4,20-21.5	3.13	0.19	3.90	-1.15	55.3	
70.72	449.93	177-1089C-8-4,25-26.5	2.93	-0.09	3.96	-0.93	47.6	
70.77	450.11	177-1089C-8-4,30-31.5	2.67	-0.39	3.83	-0.80	49.4	
70.82	450.29	177-1089C-8-4,35-36.5	2.68	-0.10	3.93	-0.99	51.4	32.8
70.87	450.46	177-1089C-8-4,40-41.5	2.88	-0.05	3.92	-1.38	47.5	
70.92	450.64	177-1089C-8-4,45-46.5	2.95	-0.02	3.94	-1.05	45.5	
70.97	450.82	177-1089C-8-4,50-51.5	2.83	-0.23	3.92	-1.17	39.3	
71.02	451.00	177-1089C-8-4,55-56.5	2.90	-0.07	3.95	-0.93	39.1	35.9
71.07	451.18	177-1089C-8-4,60-61.5	2.67	-0.33	3.94	-1.42	43.3	
71.12	451.36	177-1089C-8-4,65-66.5	2.74	-0.35	3.94	-1.03	43.3	
71.17	451.54	177-1089C-8-4,70-71.5			3.94	-1.14	40.8	
71.22	451.71	177-1089C-8-4,75-76.5			3.91	-0.95	35.8	46.6
71.27	451.89	177-1089C-8-4,80-81.5	2.78	-0.31	3.87	-1.04	41.0	
71.32	452.07	177-1089C-8-4,85-86.5	2.64	-0.34	3.85	-0.81	45.0	
71.37	452.25	177-1089C-8-4,90-91.5			3.85	-1.00	54.2	
71.42	452.43	177-1089C-8-4,95-96.5			3.88	-0.61	52.8	31.4
71.47	452.61	177-1089C-8-4,100-102			3.86	-0.96	46.4	
71.52	452.79	177-1089C-8-4,105-107			3.83	-1.05	41.8	
71.57	452.96	177-1089C-8-4,110-112			3.79	-1.27	35.7	
71.62	453.14	177-1089C-8-4,115-117			3.79	-1.11	37.5	31.1
71.67	453.32	177-1089C-8-4,120-122			3.76	-1.15	36.0	
71.77	453.68	177-1089C-8-4,130-132			3.80	-0.91	30.4	
71.82	453.86	177-1089C-8-4,135-137			3.98	-0.95	29.5	
71.87	454.04	177-1089C-8-4,140-142			3.88	-1.25	27.3	
71.92	454.21	177-1089C-8-4,145-147			3.84	-0.97	25.2	
71.97	454.39	177-1089C-8-5,0-1.5			3.92	-0.97	23.8	
72.02	454.57	177-1089C-8-5,5-6.5			3.89	-1.19	23.6	
72.07	454.75	177-1089C-8-5,10-11.5			3.87	-0.90	22.8	
72.12	454.93	177-1089C-8-5,15-16.5			3.85	-1.11	20.8	
72.17	455.11	177-1089C-8-5,20-21.5			3.83	-0.93	21.1	
72.22	455.29	177-1089C-8-5,25-26.5			3.82	-1.06	20.4	
72.27	455.46	177-1089C-8-5,30-31.5			3.83	-1.06	20.2	
72.32	455.64	177-1089C-8-5,35-36.5			3.83	-1.20	20.8	
72.37	455.82	177-1089C-8-5,40-41.5			3.83	-1.16	21.2	
72.42	456.00	177-1089C-8-5,45-46.5			3.89	-1.03	24.3	
72.47	456.18	177-1089C-8-5,50-51.5			4.01	-1.09	24.7	
72.52	456.36	177-1089C-8-5,55-56.5			3.95	-1.22	27.3	
72.57	456.54	177-1089C-8-5,60-61.5	2.88	-0.05	3.92	-1.00	31.3	
72.62	456.71	177-1089C-8-5,65-66.5	2.73	-0.16	3.88	-1.07	33.2	
72.67	456.89	177-1089C-8-5,70-71.5	2.63	-0.24	3.89	-1.19	36.2	
72.72	457.07	177-1089C-8-5,75-76.5	2.93	-0.10	3.92	-1.17	39.3	
72.77	457.25	177-1089C-8-5,80-81.5			3.83	-0.87	38.0	
72.82	457.43	177-1089C-8-5,85-86.5			3.80	-0.65	30.8	
72.87	457.61	177-1089C-8-5,90-91.5			3.68	-1.04	22.7	
72.92	457.79	177-1089C-8-5,95-96.5			3.82	-0.95	27.6	
72.97	457.96	177-1089C-8-5,100-102			3.80	-1.42	33.8	
73.02	458.14	177-1089C-8-5,105-107			3.88	-0.95	38.0	
73.07	458.32	177-1089C-8-5,110-112			3.79	-1.25	41.2	
73.10	458.43	177-1089B-8-2,105-107			3.80	-0.62	48.7	
73.15	458.61	177-1089B-8-2,110-112			3.88	-0.99	46.3	
73.20	458.79	177-1089B-8-2,115-117			3.81	-0.73	44.8	
73.25	458.96	177-1089B-8-2,120-122			3.83	-0.28	40.2	
73.30	459.14	177-1089B-8-2,125-127					27.7	
73.35	459.32	177-1089B-8-2,130-132			3.72	-1.27	19.4	
73.40	459.50	177-1089B-8-2,135-137			3.80	-0.92	20.9	
73.45	459.68	177-1089B-8-2,140-142			3.74	-1.03	18.8	
73.50	459.86	177-1089B-8-2,145-147			3.85	-1.23	18.3	
73.55	460.04	177-1089B-8-3,0-1.5			3.83	-1.10	19.8	
73.60	460.21	177-1089B-8-3,5-6.5	2.78	0.07	3.81	-1.35	17.3	
73.65	460.39	177-1089B-8-3,10-11.5			3.83	-1.21	16.8	
73.70	460.57	177-1089B-8-3,15-16.5	2.74	-0.20	3.81	-0.96	18.5	
73.75	460.75	177-1089B-8-3,20-21.5	2.81	0.01	3.85	-1.28	20.3	
73.80	460.93	177-1089B-8-3,25-26.5	2.82	-0.30	3.86	-0.92	23.5	
73.85	461.11	177-1089B-8-3,30-31.5	2.64	-0.29	3.79	-0.96	20.9	
73.90	461.29	177-1089B-8-3,35-36.5	2.99	-0.13	3.87	-0.55	19.0	
73.95	461.46	177-1089B-8-3,40-41.5	2.80	0.15	3.87	-1.20	20.8	
74.00	461.64	177-1089B-8-3,45-46.5	2.69	-0.01			25.2	
74.05	461.82	177-1089B-8-3,50-51.5			3.87	-1.11	25.2	
74.10	462.00	177-1089B-8-3,55-56.5	2.78	0.15	3.84	-1.16	25.5	
74.15	462.18	177-1089B-8-3,60-61.5	2.69	0.05	3.82	-1.41	28.8	
74.20	462.36	177-1089B-8-3,65-66.5	3.02	0.28	3.85	-1.25	28.4	
74.25	462.54	177-1089B-8-3,70-71.5	2.90	0.02	3.83	-1.45	25.8	
74.30	462.71	177-1089B-8-3,75-76.5	2.89	0.27	3.73	-1.24	25.1	
74.35	462.89	177-1089B-8-3,80-81.5	2.69	-0.08	3.93	-1.39	26.3	
74.40	463.07	177-1089B-8-3,85-86.5	2.91	0.09	3.82	-1.03	25.3	
74.45	463.25	177-1089B-8-3,90-91.5	2.76	-0.10	3.82	-1.24	24.8	
74.50	463.43	177-1089B-8-3,95-96.5			3.69	-0.92	29.1	
74.55	463.61	177-1089B-8-3,100-102	2.86	0.24	3.79	-0.95	27.1	
74.60	463.79	177-1089B-8-3,105-107	2.83	0.14	3.72	-0.81	27.8	
74.65	463.96	177-1089B-8-3,110-112	2.49	-0.24	3.80	-0.69	27.7	
74.70	464.14	177-1089B-8-3,115-117			3.74	-0.75	31.3	
74.75	464.32	177-1089B-8-3,120-122	2.87	0.08	3.64	-1.10	34.5	
74.80	464.50	177-1089B-8-3,125-127			3.72	-1.22	34.3	
74.85	464.68	177-1089B-8-3,130-132			3.71	-1.01	37.0	
74.90	464.86	177-1089B-8-3,135-137	2.68	-0.02	3.62	-1.04	38.3	
74.95	465.04	177-1089B-8-3,140-142	2.30	-0.17	3.62	-0.70	35.8	
75.00	465.21	177-1089B-8-3,145-147	2.79	0.25	3.68	-0.59	29.6	
75.05	465.39	177-1089B-8-4,0-1.5	2.50	-0.18	3.73	-0.90	22.4	
75.10	465.57	177-1089B-8-4,5-6.5	2.56	-0.19	3.71	-1.18	23.8	
75.15	465.75	177-1089B-8-4,10-11.5	2.63	-0.30	3.74	-0.95	23.2	
75.20	465.93	177-1089B-8-4,15-16.5			3.65	-1.14	21.9	
75.25	466.11	177-1089B-8-4,20-21.5			3.61	-1.43	20.4	
75.30	466.29	177-1089B-8-4,25-26.5	2.62	-0.08	3.73	-1.42	22.4	
75.35	466.46	177-1089B-8-4,30-31.5	2.48	-0.10	3.73	-1.11	22.7	
75.40	466.64	177-1089B-8-4,35-36.5	2.56	-0.21	3.69	-1.00	23.6	
75.45	466.82	177-1089B-8-4,40-41.5	2.63	-0.23	3.70	-1.09	23.3	
75.50	467.00	177-1089B-8-4,45-46.5	2.72	0.06	3.66	-1.04	24.6	
75.55	467.18	177-1089B-8-4,50-51.5	2.61	-0.02	3.76	-1.33	26.3	
75.60	467.36	177-1089B-8-4,55-56.5	2.55	0.05			24.8	
75.65	467.54	177-1089B-8-4,60-61.5			3.70	-0.93	25.1	
75.70	467.71	177-1089B-8-4,65-66.5			3.85	-1.13	26.5	
75.75	467.89	177-1089B-8-4,70-71.5	2.64	-0.40	3.73	-0.96	29.4	
75.80	468.07	177-1089B-8-4,75-77	2.74	0.06	3.71	-0.91	33.3	
75.85	468.25	177-1089B-8-4,80-81.5			3.67	-1.02	35.3	
75.90	468.43	177-1089B-8-4,85-86.5			3.70	-1.11	35.8	
75.95	468.61	177-1089B-8-4,90-91.5	2.74	0.14	3.67	-0.49		
76.00	468.79	177-1089B-8-4,95-96.5	2.81	0.30	3.66	-1.02	14.2	
76.05	468.96	177-1089B-8-4,99-102	2.69	0.37	3.65	-1.33	6.6	
76.10	469.14	177-1089B-8-4,105-107			3.81	-0.78	8.6	
76.15	469.32	177-1089B-8-4,110-112	2.77	-0.06	3.74	-0.77	12.8	
76.20	469.50	177-1089B-8-4,115-117			3.75	-0.70	7.6	
76.25	469.68	177-1089B-8-4,120-122			3.65	-1.06	4.3	
76.30	469.86	177-1089B-8-4,125-127	2.67	0.11	3.50	-1.10	3.0	
76.35	470.04	177-1089B-8-4,130-132	2.48	-0.20	3.84	-0.55	1.4	
76.40	470.21	177-1089B-8-4,135-137			3.70	-0.39	2.0	
76.45	470.39	177-1089B-8-4,140-142			3.73	-0.65	1.5	
76.50	470.57	177-1089B-8-4,145-147			3.65	-0.80	1.8	
76.55	470.75	177-1089B-8-5,0-1.5			3.91	-0.72	1.5	
76.60	470.93	177-1089B-8-5,5-6.5			3.66	-1.02	2.3	
76.65	471.11	177-1089B-8-5,10-11.5					0.3	
76.70	471.29	177-1089B-8-5,15-16.5			3.70	-0.83	1.1	
76.75	471.46	177-1089B-8-5,20-21.5			3.55	-0.55	4.1	
76.80	471.64	177-1089B-8-5,25-26.5			3.51	-0.48	5.3	
76.85	471.82	177-1089B-8-5,30-31.5			3.51	0.03	9.2	
76.90	472.00	177-1089B-8-5,35-36.5	2.23	0.21	3.45	-0.03	9.1	
76.95	472.21	177-1089B-8-5,40-41.5	2.10	0.01	3.48	-0.25	13.8	
77.00	472.41	177-1089B-8-5,45-46.5			3.30	0.01	12.8	
77.05	472.62	177-1089B-8-5,50-51.5			3.41	0.13	6.3	
77.10	472.82	177-1089B-8-5,55.56-			3.26	-0.27	8.1	
77.15	473.03	177-1089B-8-5,60-61.5					0.3	
77.20	473.23	177-1089B-8-5,65-66.5			3.27	-0.55	2.7	
77.25	473.44	177-1089B-8-5,70-71.5			3.34	-0.53	3.3	
77.30	473.65	177-1089B-8-5,75-77.5			3.61	-0.44	3.0	
77.35	473.85	177-1089B-8-5,80-81.5			3.41	-0.71	5.4	
77.40	474.06	177-1089B-8-5,85-86.5			3.34	-0.89	10.2	
77.45	474.26	177-1089B-8-5,90-91.5			3.44	-0.33	10.3	
77.50	474.47	177-1089B-8-5,95-96.5	2.16	0.68	3.43	-0.12	13.7	
77.55	474.67	177-1089B-8-5,100-102	1.93	0.44	3.33	-0.10	17.5	
77.60	474.88	177-1089B-8-5,105-107			3.33	0.10	14.6	
77.65	475.09	177-1089B-8-5,110-112			3.24	0.00	10.8	
77.70	475.29	177-1089B-8-5,115-118			3.25	0.14	18.3	
77.75	475.50	177-1089B-8-5,120-122			3.23	0.13	15.7	
77.80	475.70	177-1089B-8-5,125-127			3.16	-0.05	13.8	
77.85	475.91	177-1089B-8-5,130-132					6.6	
77.90	476.12	177-1089B-8-5,135-137			3.00	-0.22	5.5	
77.93	476.24	177-1089C-9-2,45-46.5	2.03	0.51	3.13	0.19	10.2	
77.98	476.44	177-1089C-9-2,50-51.5			3.12	0.04	3.3	
78.03	476.65	177-1089C-9-2,55-56.5			3.13	-0.09	8.4	
78.08	476.86	177-1089C-9-2,60-61.5			3.07	0.02	7.3	
78.13	477.06	177-1089C-9-2,65-66.5					7.5	
78.18	477.27	177-1089C-9-2,70-71.5	2.00	0.01	3.17	-0.47	11.8	
78.23	477.47	177-1089C-9-2,75-76.5	2.05	0.59	3.26	-0.10	14.8	
78.28	477.68	177-1089C-9-2,80-81.25	2.04	0.65	3.18	0.05	15.1	
78.33	477.88	177-1089C-9-2,85-86.5			3.15	0.18	13.5	
78.38	478.09	177-1089C-9-2,90-91.5			3.18	0.26	11.3	
78.43	478.30	177-1089C-9-2,95-96.5	2.14	0.28	3.11	0.20	29.0	
78.48	478.50	177-1089C-9-2,100-102			3.05	0.28	23.8	
78.53	478.71	177-1089C-9-2,105-107			3.07	0.29	27.2	
78.58	478.91	177-1089C-9-2,110-112			3.01	0.41	25.1	
78.63	479.12	177-1089C-9-2,115-117			3.05	-0.08	28.5	
78.68	479.33	177-1089C-9-2,120-122	2.52	0.44	3.00	-0.10	25.3	
78.73	479.53	177-1089C-9-2,125-127			3.05	0.36	21.2	
78.78	479.74	177-1089C-9-2,130-132			3.03	0.21	20.4	
78.83	479.94	177-1089C-9-2,135-137			3.10	0.27	24.3	
78.88	480.15	177-1089C-9-2,140-142			2.97	-0.14	16.6	
78.93	480.35	177-1089C-9-2,145-147	1.95	0.46	3.00	-0.04	26.8	
78.98	480.56	177-1089C-9-3,0-1.5			2.96	0.21	20.0	
79.03	480.77	177-1089C-9-3,5-6.5			3.04	0.15	11.6	
79.08	480.97	177-1089C-9-3,10-11.5			2.99	0.34	14.2	
79.13	481.18	177-1089C-9-3,15-16.5					14.7	
79.18	481.38	177-1089C-9-3,20-21.5	1.96	0.92	2.98	0.25	12.9	
79.23	481.59	177-1089C-9-3,25-26.5			3.00	0.53	14.8	
79.28	481.79	177-1089C-9-3,30-31.5	2.02	0.91	2.99	0.19	14.8	
79.33	482.00	177-1089C-9-3,35-36.5	1.97	0.78	2.98	0.69	18.9	
79.38	482.62	177-1089C-9-3,40-41.5	1.89	0.55	3.00	0.20	20.3	
79.43	483.24	177-1089C-9-3,45-46.5	1.71	0.25	3.16	0.22	17.1	
79.48	483.87	177-1089C-9-3,50-51.5			3.05	0.10	15.8	
79.53	484.49	177-1089C-9-3,55-56.5	1.98	0.49	3.06	0.15	17.4	
79.58	485.11	177-1089C-9-3,60-61.5			3.08	0.20	13.3	
79.63	485.73	177-1089C-9-3,65-66.5	1.99	0.06	3.11	-0.07	15.7	
79.68	486.36	177-1089C-9-3,70-71.5	1.85	0.12	3.12	0.27	15.8	
79.73	486.98	177-1089C-9-3,75-76.5			3.10	0.21	8.8	
79.78	487.60	177-1089C-9-3,80-81.5			3.12	0.27	12.3	
79.83	488.22	177-1089C-9-3,85-86.5			3.21	0.24	12.6	
79.88	488.84	177-1089C-9-3,90-91.5	1.88	0.48			13.8	
79.93	489.47	177-1089C-9-3,95-96.5	2.15	0.20	3.09	0.45	17.8	
79.98	490.09	177-1089C-9-3,100-102	2.12	0.65	3.14	0.28	19.8	
80.03	490.71	177-1089C-9-3,105-107			3.14	0.35	22.9	
80.08	491.33	177-1089C-9-3,110-112	1.97	0.61	3.07	0.33	25.4	
80.13	491.96	177-1089C-9-3,115-117	2.18	0.81	3.03	0.15	25.4	
80.18	492.58	177-1089C-9-3,120-122	2.00	0.15	3.05	0.24	23.1	
80.23	493.20	177-1089C-9-3,125-127	1.96	0.53	3.26	0.05	28.6	
80.28	493.82	177-1089C-9-3,130-132	2.18	0.80	3.25	-0.14	30.1	
80.33	494.44	177-1089C-9-3,135-137	2.17	0.41	3.14	0.20	32.3	
80.38	495.07	177-1089C-9-3,140-142	2.08	0.17	3.31	0.15	32.8	
80.43	495.69	177-1089C-9-3,145-147	1.86	0.09	3.32	-0.47	34.9	
80.48	496.31	177-1089C-9-4,0-1.5			3.25	-0.18	36.8	
80.53	496.93	177-1089C-9-4,5-6.5	2.19	0.32	3.25	0.04	36.3	
80.58	497.56	177-1089C-9-4,10-11.5	2.18	0.02	3.26	0.03	36.4	
80.63	498.18	177-1089C-9-4,15-16.5	2.35	0.67	3.27	0.20	37.9	
80.68	498.80	177-1089C-9-4,20-21.5	2.23	0.22	3.33	-0.11	34.5	
80.73	499.42	177-1089C-9-4,25-26.5	2.23	0.94	3.29	0.20	36.9	
80.78	500.04	177-1089C-9-4,30-31.5	2.20	0.45	3.37	0.26	33.2	
80.83	500.67	177-1089C-9-4,35-36.5	2.17	0.55	3.32	0.11	26.3	
80.88	501.29	177-1089C-9-4,40-41.5	2.14	-0.12	3.28	-0.12	22.5	
80.93	501.91	177-1089C-9-4,45-46.5	2.37	0.50	3.41	-0.34	28.9	
80.98	502.53	177-1089C-9-4,50-51.5			3.34	0.02	35.7	
81.03	503.16	177-1089C-9-4,55-56.5			3.33	0.46	38.2	
81.08	503.78	177-1089C-9-4,60-61.5	2.15	-0.02	3.42	-0.12	37.7	
81.13	504.40	177-1089C-9-4,65-66.5	2.51	0.54	3.46	0.08	32.8	
81.18	505.02	177-1089C-9-4,70-71.5			3.57	-0.26	30.8	
81.23	505.64	177-1089C-9-4,75-76.5	2.49	1.66	3.58	-0.15	26.7	
81.28	506.27	177-1089C-9-4,80-81.5			3.48	-0.40	32.3	
81.33	506.89	177-1089C-9-4,85-86.5	2.46	0.26	3.56	0.09	35.3	
81.38	507.51	177-1089C-9-4,90-91.5			3.58	0.15	35.7	
81.43	508.13	177-1089C-9-4,95-96.5	2.46	0.20	3.55	-0.03	33.9	
81.48	508.76	177-1089C-9-4,100-102	2.49	-0.03	3.54	0.14	35.8	
81.53	509.38	177-1089C-9-4,105-107					31.3	
81.58	510.00	177-1089C-9-4,110-112			3.63	0.40	32.2	
81.63	510.36	177-1089C-9-4,115-117			3.60	-0.09	31.2	
